image_id,dataset_id,filename,relative_path,species,individual_id,station_id,deployment_id,timestamp,latitude,longitude,camera_id,sequence_id,source
1,ATRW_LILA_BC,003597.jpg,raw/tiger/003597.jpg,Panthera tigris (Amur Tiger),tiger_250,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
2,ATRW_LILA_BC,003523.jpg,raw/tiger/003523.jpg,Panthera tigris (Amur Tiger),tiger_256,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
3,ATRW_LILA_BC,003900.jpg,raw/tiger/003900.jpg,Panthera tigris (Amur Tiger),tiger_171,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
4,ATRW_LILA_BC,002636.jpg,raw/tiger/002636.jpg,Panthera tigris (Amur Tiger),tiger_247,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
5,ATRW_LILA_BC,002249.jpg,raw/tiger/002249.jpg,Panthera tigris (Amur Tiger),tiger_238,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
6,ATRW_LILA_BC,003370.jpg,raw/tiger/003370.jpg,Panthera tigris (Amur Tiger),tiger_264,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
7,ATRW_LILA_BC,001260.jpg,raw/tiger/001260.jpg,Panthera tigris (Amur Tiger),tiger_54,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
8,ATRW_LILA_BC,001015.jpg,raw/tiger/001015.jpg,Panthera tigris (Amur Tiger),tiger_237,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
9,ATRW_LILA_BC,003460.jpg,raw/tiger/003460.jpg,Panthera tigris (Amur Tiger),tiger_255,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
10,ATRW_LILA_BC,004922.jpg,raw/tiger/004922.jpg,Panthera tigris (Amur Tiger),tiger_96,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
11,ATRW_LILA_BC,001532.jpg,raw/tiger/001532.jpg,Panthera tigris (Amur Tiger),tiger_114,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
12,ATRW_LILA_BC,005137.jpg,raw/tiger/005137.jpg,Panthera tigris (Amur Tiger),tiger_100,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
13,ATRW_LILA_BC,000109.jpg,raw/tiger/000109.jpg,Panthera tigris (Amur Tiger),tiger_201,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
14,ATRW_LILA_BC,000361.jpg,raw/tiger/000361.jpg,Panthera tigris (Amur Tiger),tiger_91,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
15,ATRW_LILA_BC,002681.jpg,raw/tiger/002681.jpg,Panthera tigris (Amur Tiger),tiger_168,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
16,ATRW_LILA_BC,002561.jpg,raw/tiger/002561.jpg,Panthera tigris (Amur Tiger),tiger_114,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
17,ATRW_LILA_BC,003696.jpg,raw/individual_tiger/tiger_153/003696.jpg,Panthera tigris (Amur Tiger),tiger_153,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
18,ATRW_LILA_BC,001291.jpg,raw/tiger/001291.jpg,Panthera tigris (Amur Tiger),tiger_256,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
19,ATRW_LILA_BC,003925.jpg,raw/tiger/003925.jpg,Panthera tigris (Amur Tiger),tiger_45,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
20,ATRW_LILA_BC,004690.jpg,raw/tiger/004690.jpg,Panthera tigris (Amur Tiger),tiger_67,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
21,ATRW_LILA_BC,004972.jpg,raw/tiger/004972.jpg,Panthera tigris (Amur Tiger),tiger_130,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
22,ATRW_LILA_BC,003849.jpg,raw/tiger/003849.jpg,Panthera tigris (Amur Tiger),tiger_54,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
23,ATRW_LILA_BC,001196.jpg,raw/tiger/001196.jpg,Panthera tigris (Amur Tiger),tiger_130,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
24,ATRW_LILA_BC,002566.jpg,raw/tiger/002566.jpg,Panthera tigris (Amur Tiger),tiger_22,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
25,ATRW_LILA_BC,004086.jpg,raw/tiger/004086.jpg,Panthera tigris (Amur Tiger),tiger_175,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
26,ATRW_LILA_BC,002174.jpg,raw/tiger/002174.jpg,Panthera tigris (Amur Tiger),tiger_223,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
27,ATRW_LILA_BC,005041.jpg,raw/tiger/005041.jpg,Panthera tigris (Amur Tiger),tiger_33,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
28,ATRW_LILA_BC,001432.jpg,raw/tiger/001432.jpg,Panthera tigris (Amur Tiger),tiger_139,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
29,ATRW_LILA_BC,004140.jpg,raw/individual_tiger/tiger_136/004140.jpg,Panthera tigris (Amur Tiger),tiger_136,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
30,ATRW_LILA_BC,004615.jpg,raw/tiger/004615.jpg,Panthera tigris (Amur Tiger),tiger_196,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
31,ATRW_LILA_BC,000922.jpg,raw/tiger/000922.jpg,Panthera tigris (Amur Tiger),tiger_187,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
32,ATRW_LILA_BC,002986.jpg,raw/individual_tiger/tiger_160/002986.jpg,Panthera tigris (Amur Tiger),tiger_160,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
33,ATRW_LILA_BC,004485.jpg,raw/tiger/004485.jpg,Panthera tigris (Amur Tiger),tiger_247,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
34,ATRW_LILA_BC,001653.jpg,raw/tiger/001653.jpg,Panthera tigris (Amur Tiger),tiger_172,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
35,ATRW_LILA_BC,001478.jpg,raw/tiger/001478.jpg,Panthera tigris (Amur Tiger),tiger_168,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
36,ATRW_LILA_BC,001787.jpg,raw/tiger/001787.jpg,Panthera tigris (Amur Tiger),tiger_45,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
37,ATRW_LILA_BC,004826.jpg,raw/tiger/004826.jpg,Panthera tigris (Amur Tiger),tiger_33,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
38,ATRW_LILA_BC,000612.jpg,raw/individual_tiger/tiger_153/000612.jpg,Panthera tigris (Amur Tiger),tiger_153,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
39,ATRW_LILA_BC,001098.jpg,raw/tiger/001098.jpg,Panthera tigris (Amur Tiger),tiger_151,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
40,ATRW_LILA_BC,001183.jpg,raw/tiger/001183.jpg,Panthera tigris (Amur Tiger),tiger_244,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
41,ATRW_LILA_BC,003970.jpg,raw/tiger/003970.jpg,Panthera tigris (Amur Tiger),tiger_256,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
42,ATRW_LILA_BC,004023.jpg,raw/tiger/004023.jpg,Panthera tigris (Amur Tiger),tiger_247,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
43,ATRW_LILA_BC,002204.jpg,raw/tiger/002204.jpg,Panthera tigris (Amur Tiger),tiger_60,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
44,ATRW_LILA_BC,001069.jpg,raw/individual_tiger/tiger_154/001069.jpg,Panthera tigris (Amur Tiger),tiger_154,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
45,ATRW_LILA_BC,004685.jpg,raw/tiger/004685.jpg,Panthera tigris (Amur Tiger),tiger_265,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
46,ATRW_LILA_BC,000356.jpg,raw/tiger/000356.jpg,Panthera tigris (Amur Tiger),tiger_64,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
47,ATRW_LILA_BC,001276.jpg,raw/tiger/001276.jpg,Panthera tigris (Amur Tiger),tiger_238,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
48,ATRW_LILA_BC,002499.jpg,raw/tiger/002499.jpg,Panthera tigris (Amur Tiger),tiger_250,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
49,ATRW_LILA_BC,000447.jpg,raw/tiger/000447.jpg,Panthera tigris (Amur Tiger),tiger_261,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
50,ATRW_LILA_BC,005005.jpg,raw/tiger/005005.jpg,Panthera tigris (Amur Tiger),tiger_237,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
51,ATRW_LILA_BC,005145.jpg,raw/tiger/005145.jpg,Panthera tigris (Amur Tiger),tiger_115,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
52,ATRW_LILA_BC,003368.jpg,raw/tiger/003368.jpg,Panthera tigris (Amur Tiger),tiger_81,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
53,ATRW_LILA_BC,001459.jpg,raw/individual_tiger/tiger_243/001459.jpg,Panthera tigris (Amur Tiger),tiger_243,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
54,ATRW_LILA_BC,004896.jpg,raw/tiger/004896.jpg,Panthera tigris (Amur Tiger),tiger_265,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
55,ATRW_LILA_BC,004132.jpg,raw/tiger/004132.jpg,Panthera tigris (Amur Tiger),tiger_247,ATRW_Zoo_Cam,ATRW_2019,,,,ATRW_CAM,,https://lila.science/datasets/amur-tiger-re-identification
